,Angle,Ank1,Kcnmb2,Ankrd55,Slc32a1,Btbd11,Arx,Dlx1,Gad2,Pvalb,Pdgfra,Nxph4,Car3,Slc17a8,Syt6,Rspo1,Lratd2,Deptor,Ndnf,Chrna2,Calb1,Sncg,Th,Gad1,Slc17a7,Neurod1,Rorb,Fezf2,Adarb2,Lamp5,Vip,Lhx6,Chodl,Fa2h,Ly86,Ly6c2,Dcn,Fgfr3,Map3k7cl,Nxph1,Pcp4,Neurod6,Nrn1,Sst,Nrgn,Ptn,Cck,Synpr,Slc6a1,Dlx6,Atp1a3,Arpp19,Npy,Cxcl14,Rab3b,Cryab,Penk,Tesc,Crh,Caln1,Kcnip1,Gm11549,Ctxn1,Car4,Nfib,Id2,Igfbp6,Itpka,Ptprd,Sv2b,Vxn,Reln,Rprml,Cnr1,Cacna2d3,Plpp4,Adcy2,Kcnip4,Sparcl1,Brinp3
1434,178.72400000000005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,5,0,0,0,0,2,0,1,0,1,0,11,0,0,1,0,0,0,2,1,3,0,0,0,0,0,0,0,1,0
1435,174.937,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7,0,0,0,0,0,1,6,0,0,1,18,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,10,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,19,2,0,1,0,0,0,2,4,7,0,0,0,1,0,1,0,6,1
1436,174.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,4,1,1,0,1,0,2,1,0,0,0,4,0,0,0,1,0,10,2,0,2,0,0,0,2,1,1,0,0,1,0,0,0,0,1,0
1437,174.115,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,7,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,2,7,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
1438,174.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,7,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,3,0,3,0,0,0,1,0,0,0,1,0,0,13,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0
1439,174.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1440,176.68400000000003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0
1441,174.115,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,1,5,0,11,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
1442,174.115,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,0
1443,178.327,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0
1444,174.115,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,11,3,0,0,0,1,0,0,0,0,0,0,3,1,0,0,9,0,1,0,0,1,9,4,0,0,1,3,0,0,0,0,0,18,12,1,2,0,0,1,2,2,7,0,2,1,0,0,1,0,1,0
