,Alcam,Ank1,Ankrd55,B3galt1,Cdh9,Chodl,Cux2,Dlx1,Elfn1,Fam19a2,Fezf2,Foxp2,Gad2,Galnt14,Grin3a,Grm5,Kcnip4,Kcnk2,Kcnmb2,Ldb2,Lhx6,Lingo2,Mef2c,Mpped1,Npas1,Nr2f2,Nts,Parm1,Pcdh8,Pde1a,Prox1,Pvalb,Rorb,Satb2,Sema3e,Sez6,Slc32a1,Sv2c,Syndig1,Thsd7a,Tnni3k,Unc13c
513,5,4,0,0,0,1,5,0,4,2,5,0,4,3,1,7,1,1,0,2,0,0,21,14,0,0,0,1,2,4,2,7,3,9,3,4,1,0,0,2,0,1
514,0,8,0,1,0,1,0,0,1,0,0,2,0,0,2,7,0,0,0,2,1,0,9,1,0,1,0,1,0,3,0,5,1,5,0,0,1,1,0,2,0,0
515,1,2,2,1,4,0,6,1,3,0,1,1,1,2,9,4,1,4,0,4,1,1,14,3,0,4,0,2,0,5,0,6,4,6,0,2,0,3,1,0,1,0
516,0,1,0,0,0,0,14,0,0,4,0,0,0,0,0,10,0,5,0,0,0,0,9,4,0,0,0,0,0,5,0,1,2,10,0,0,0,0,2,2,0,0
517,15,33,2,14,3,0,4,1,7,25,14,0,14,5,1,50,18,49,2,12,6,0,166,82,0,2,0,20,0,45,3,101,30,38,3,30,31,3,19,30,1,3
518,2,5,0,5,1,0,3,0,7,4,4,0,5,1,2,14,2,20,0,2,1,1,50,14,0,0,0,2,0,12,0,3,5,8,1,5,2,0,4,13,0,0
519,0,10,0,0,1,0,8,0,3,2,0,0,5,2,1,5,1,2,1,2,0,0,5,11,0,0,0,1,2,5,0,3,0,5,0,0,1,0,8,0,0,0
520,2,11,1,11,1,0,6,1,5,18,6,1,3,0,3,34,5,35,0,7,1,0,157,41,0,1,0,2,1,17,0,8,18,34,1,12,3,2,11,39,1,2
521,0,9,1,2,0,1,4,1,8,3,2,0,3,2,3,11,1,15,0,5,1,0,56,16,4,0,0,4,1,8,1,7,6,6,3,7,3,3,10,10,1,0
522,1,1,0,3,1,0,3,1,6,1,0,0,4,0,1,1,3,5,0,0,0,0,9,8,1,0,0,1,1,5,0,4,3,2,3,3,3,2,0,1,0,0
523,0,8,0,6,0,0,4,0,4,10,14,2,4,1,1,19,3,27,0,4,1,0,85,44,0,2,0,8,2,23,1,12,12,18,4,12,4,0,16,20,1,1
524,4,2,1,2,0,1,5,0,1,1,2,0,0,0,1,4,1,4,0,5,0,0,12,14,0,0,1,2,0,4,0,8,2,7,1,5,0,2,0,2,0,3
525,14,14,0,11,0,0,4,0,6,5,5,0,0,2,3,29,3,19,1,7,1,2,33,36,2,0,0,3,0,20,1,6,10,14,1,14,4,1,11,5,1,1
526,2,7,1,14,1,1,5,0,2,24,10,1,3,1,1,44,19,62,1,6,0,0,162,73,0,0,0,6,0,21,1,1,22,28,1,23,0,0,9,40,0,1
527,0,7,0,2,0,0,2,0,1,2,2,0,0,1,0,5,1,2,0,0,0,0,4,9,0,0,0,4,1,3,0,1,1,1,0,0,0,2,3,1,0,0
528,0,6,1,5,0,1,1,0,3,4,0,0,0,1,1,15,1,13,0,5,0,1,38,16,0,0,0,2,1,6,0,6,6,10,1,7,2,0,2,4,1,0
529,1,14,2,3,1,0,1,0,2,1,13,0,1,28,0,45,5,1,0,11,1,2,44,54,2,0,0,42,10,54,0,4,0,19,7,22,1,8,11,1,0,0
530,0,5,0,2,0,0,1,0,0,4,0,0,0,0,0,6,1,5,0,1,0,0,9,1,0,0,0,1,0,8,0,2,1,8,0,1,2,0,3,1,0,0
