cellID,x,y,z,area,layerData,experiment
Cell_291,-1.155831828,-1.815891666,0.004306735,0.00028936,0,MouseVISp_AI
Cell_292,-1.070092435,-1.931436808,0.004305927,0.000357179,0,MouseVISp_AI
Cell_293,-2.169598455,-1.016070238,0.004238859,0.000458907,0,MouseVISp_AI
Cell_294,-1.531563357,-1.572061913,0.004256397,0.00021702,0,MouseVISp_AI
Cell_295,-1.748942348,-0.85485791,0.004303842,0.000221541,0,MouseVISp_AI
Cell_296,-1.809777744,-0.893952106,0.004239294,0.000257711,0,MouseVISp_AI
Cell_297,-1.315787706,-0.975992614,0.004343518,0.000230584,0,MouseVISp_AI
Cell_298,-1.584675873,-0.24578595,0.004373866,0.000558374,0,MouseVISp_AI
Cell_299,-1.684702815,-0.464962254,0.004319413,0.00039787,0,MouseVISp_AI
Cell_300,-1.852022151,-0.970491968,0.004290828,0.000424997,0,MouseVISp_AI
Cell_301,-1.610518124,-0.404388275,0.004283328,0.000280317,0,MouseVISp_AI
Cell_302,-1.447758208,-1.710739273,0.00433646,0.000483774,0,MouseVISp_AI
Cell_303,-1.481631547,-1.44758062,0.004354507,0.000232844,0,MouseVISp_AI
Cell_304,-1.412566097,-0.829087811,0.004386991,0.000205717,0,MouseVISp_AI
Cell_305,-1.92786568,-0.840136603,0.00439383,0.000298402,0,MouseVISp_AI
Cell_306,-2.122083014,-0.966908434,0.004388265,0.000429519,0,MouseVISp_AI
Cell_307,-1.794815968,-1.64263199,0.00429487,0.000608108,0,MouseVISp_AI
Cell_308,-1.594115268,-0.830063314,0.004321468,0.000373003,0,MouseVISp_AI
Cell_309,-1.250928887,-0.601191461,0.004264055,0.000404652,0,MouseVISp_AI
Cell_310,-1.309492903,-1.77089714,0.004274388,0.000278057,0,MouseVISp_AI
Cell_311,-1.982657757,-1.01721543,0.004242096,0.000522204,0,MouseVISp_AI
Cell_312,-1.691600373,-1.157550899,0.004254412,0.000515422,0,MouseVISp_AI
Cell_313,-1.75199825,-0.211475852,0.004238025,0.000187632,0,MouseVISp_AI
Cell_314,-1.770467202,-0.932512373,0.004337688,0.000194414,0,MouseVISp_AI
Cell_315,-1.621875518,-1.567789282,0.00431993,0.00018085,0,MouseVISp_AI
